Station,dec lon,dec lat
ROME5,-82.838,27.65
ROME4,-82.921,27.65
TB3,-83,27.672
TB4,-83.13,27.617
TB5,-83.3,27.617
TB10,-83.49,27.62
CW7,-83.569,28.012
CW6,-83.405,28.012
CW5,-83.24,28.012
CW4,-83.079,28.012
CW3,-82.96,28.01
CW2,-82.892,28.017
CW1,-82.848,28.01
TB1,-82.882,27.801
TB2,-82.928,27.74
AMI1,-82.751,27.497
AMI2,-82.845,27.459
AMI3,-82.939,27.42
AMI4,-83.033,27.382
AMI5,-83.127,27.343
AMI6,-83.221,27.305
AMI7,-83.316,27.266
AMI8,-83.41,27.228
AMI9,-83.504,27.189
L9,-83.314,26.971
L7,-83.135,27.055
L5,-82.954,27.135
L3,-82.774,27.221
L1,-82.593,27.302
V1,-82.478,27.111
V2,-82.547,27.072
V3,-82.615,27.033
V4,-82.684,26.994
V5,-82.752,26.955
V6,-82.821,26.916
V7,-82.889,26.877
V8,-82.96,26.83
V9,-83.1,26.73
BG7,-83.037,26.494
BG6,-82.87,26.544
GP5,-82.696,26.596
BG4,-82.556,26.631
RP4,-82.498,26.578
BG3,-82.417,26.668
BG2,-82.34,26.689
BG1,-82.262,26.709
RP3,-82.331,26.551
RP2,-82.255,26.553
RP1,-82.212,26.546
CAL1,-81.96,26.426
CAL2,-82,26.383
CAL3,-82.044,26.342
CAL4,-82.138,26.254
CAL5,-82.217,26.183
33,-81.8,25.912
31,-81.943,25.742
41,-81.575,25.733
45,-81.471,25.584
47,-81.367,25.583
49,-81.292,25.583
51,-81.308,25.453
53,-81.225,25.453
54,-81.153,25.345
55,-81.193,25.35
56,-81.227,25.35
57,-81.265,25.352
57.1,-81.336,25.352
57.2,-81.49,25.352
57.3,-81.653,25.352
58,-81.653,25.167
60,-81.336,25.167
64,-81.157,25.167
65,-81.093,25.102
68,-81.167,24.93
16,-81.183,24.598
18,-81.183,24.598
10,-80.86,24.788
12,-80.832,24.713
9.5,-80.69,24.717
9,-80.723,24.763
7,-80.757,24.821
MR,-80.38,25.01
2,-80.105,25.642
LK,-81.413,24.538
WS,-81.717,24.478
KW1,-81.904,24.654
KW2,-81.917,24.728
KW4,-82.041,25.014
30,-82.21,25.402
CAL6,-82.48,25.94
